,,,,,,,
,field name,BE variable name,field type,default value,description (or logic),comments,
,,"Extracts raw,id,image_id,user_id,cat_id,packaging_type,brand,variant_raw,lifestage_raw,type_raw,adequacy_raw,aafco_statement,other_certifications_raw,claims_raw,intended_use_raw,texture_raw,ingredients_raw,additives_raw,guaranteed_analysis_raw,weight_raw,price_raw,met_energy_raw,feeding_guidelines_raw,manufacturer_name_raw,country_of_origin_raw,date_manufacture_raw,date_expiry_raw,translated_flag,detected_language,confidence,extract_note,,,Extracts (processed),id,extract_id,source,user_id,cat_id,brand,variant,lifestage,type,type_method,adequacy,texture,aafco_certified,other_certifications,claims,intended_use,ingredients,additives,guaranteed_analysis,taurine_added,weight,price,priceCurrency,met_energy_100g,manufacturer_name,manufacturer_contact,country_of_origin,date_manufacture,date_expiry,translated_flag",,,,,
,,,,,,,
Table name:,Extracts raw,Extracted features at image level - tied to an extraction pair,,,,## Post extraction checks,
,id,id,UUID,Primary key,Foreign key to extract_id for Extracts (processed) table,"- To be done at ""pack level"". A pack is defined as a pair of front+back images linked to the same ""extract_id"".",
,image_id,imageId,UUID,Foreign key to Images,,"- Fields marked as ""required"" have to be found on the pack for the extraction to be successful",
,user_id,userId,UUID,Foreign key to Users,user who uploaded the images,,
,cat_id,catId,array of UUID,Foreign key to Cats,"cat against whom the user uploaded the images
- array since it could be multiple cats",- ,
,packaging_type,packagingType,enum,,"- pack
- can
- box
- others: specify",,
,brand,brand,varchar,Required,name of brand from pack,,
,variant_raw,variant,varchar,Required,complete name of the variant as on pack,,
,lifestage_raw,lifestageRaw,varchar,Required,Statement signifying lifestage as on pack: Eg. Complete food for adult cats,"Derive from statement
- Define categories",
,type_raw,typeRaw,varchar,Required,Statement mentioned on pack for signifying the type: Eg. Dry food for cats,"Set values when applicable: ""Dry food"", ""Wet food"", ""Creamy treat"", ""Other treat"" (when its treat but not a creamy treat), ""Meal topper"", ""Broth"", Other: Specify",
,adequacy_raw,adequacyRaw,varchar,Required,Statement mentioned on pack for signifying the whether complete or complementary food: Eg. Complete and balanced dry food for cats,"Derive from statement
Complete, Complementary, Does not say",
,aafco_statement,aafcoStatement,varchar,NULL,raw aafco statement mentioned on the pack,Chekc statement present or not,
,other_certifications_raw,otherCertificationsRaw,array,NULL,Comma separated statements of any regulated terms/certifications mentioned on the pack,Later,
,claims_raw,claimsRaw,array,NULL,claims made by the brand on the pack listed in a comma separated string,,
,intended_use_raw,intendedUseRaw,varchar,NULL,"Statement as on pack eg. urinary diet, hairball control, GI diet, etc.
does not include all claims like ""soft fur"" etc. NULL if nothing specified",,
,texture_raw,texture,varchar,NULL,"Exact texture as identified from name/details on pack
""kibble"" for Dry food, ""jelly"", ""gravy"", ""mousse"", ""pate""",exact texture instead of statement as hard to extract later,
,ingredients_raw,ingredients,array of string,Required,"complete detected text with names of ingredients & quantities present, in the same order as on pack in an array. Use null when ""unextracted"" text is known and skipped",array index shows sequence,
,additives_raw,additives,varchar,NULL,"complete detected text with names of additives & quantities present, in the same order as on pack",,
,guaranteed_analysis_raw,guaranteedAnalysisRaw,json,Required,"create json for all the nutrients, additives etc. mentioned on the pack along with corresponding values & units","exhaustive list of keys for guantanteed analysis, needed?",
,weight_raw,weight,int,Required,weight statment mentioned on pack with number and unit,,
,price_raw,priceRaw,int,NULL,cost statement mentioned on thepack with currency,Can be bull when it is on top or bottom of can or not printed,
,met_energy_raw,metEnergyRaw,varchar,NULL,"as on pack, with units. NULL if not present",,
,feeding_guidelines_raw,feedingGuidelinesRaw,varchar,,Text as mentioned on pack,,
,manufacturer_name_raw,manufaturerNameRaw,varchar,NULL,"Name of manufacturer, name and address as mentioned on pack",,
,country_of_origin_raw,countryOriginRaw,varchar,NULL,Country of origin for each pack as mentioned on pack,,
,date_manufacture_raw,dateManufactureRaw,varchar,NULL,Straight from the pack. NULL if not present,,
,date_expiry_raw,dateExpiryRaw,varchar,NULL,"Straight from the pack or  ""best before"" statement. NULL if not present",,
,translated_flag,translatedFlag,boolean,FALSE,Mark as TRUE if text is translated from another language on either of the images,,
,detected_language,SouceLanguage,varchar,NULL,"Language used on the pack detected for translation, if pack has info in any non-english language",,
,confidence,confidence,float,NULL,"Between 0-1, for percentage of confidence in the extraction",,
,extract_note,extractNote,text,NULL,"Any challenges, limitations, findings at the time of extraction of images
Include reason for low confidence, or in case of translation",,
,,,,,,,
,,,,,,,
Table name:,Extracts (processed),"Fields product features clean and processed from raw values in raw extracts table, at extract id level",,,,,
,id,id,UUID,Primary key,unique row id,,
,extract_id,extractId,UUID,Foreign key to extracts,extractId,,
,source,source,json,Foreign key to Images,"Contains the imageId and URL path to the source images
{
 front: {id: imagId, link: imageURL},
 back: {id: imagId, link: imageURL}
}",,
,user_id,userId,UUID,Foreign key to Users,user who uploaded the images,,
,cat_id,catId,UUID,Foreign key to Cats,cat against whom the user uploaded the images,,
,brand,brand,varchar,Required,name of brand,,
,variant,variant,varchar,Required,clean & complete name of the variant processed from variant_raw,,
